Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=6104, packetsInFlight=31
Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=6200, packetsInFlight=32
Updated metrics: rtt=205289, cwnd=28672, bytesInFlight=5330, packetsInFlight=26
Updated metrics: rtt=205289, cwnd=28672, bytesInFlight=5750, packetsInFlight=27
Updated metrics: rtt=205289, cwnd=28672, bytesInFlight=5846, packetsInFlight=28
Updated metrics: rtt=205289, cwnd=28672, bytesInFlight=5942, packetsInFlight=29
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=5384, packetsInFlight=26
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=5479, packetsInFlight=27
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=5573, packetsInFlight=28
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=5923, packetsInFlight=29
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=6018, packetsInFlight=30
Updated metrics: rtt=206280, cwnd=28672, bytesInFlight=6112, packetsInFlight=31
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=5386, packetsInFlight=26
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=5482, packetsInFlight=27
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=5576, packetsInFlight=28
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=6062, packetsInFlight=29
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=6156, packetsInFlight=30
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=6252, packetsInFlight=31
Updated metrics: rtt=205891, cwnd=28672, bytesInFlight=6348, packetsInFlight=32
Updated metrics: rtt=205191, cwnd=28672, bytesInFlight=4436, packetsInFlight=28
Updated metrics: rtt=205191, cwnd=28672, bytesInFlight=4813, packetsInFlight=29
Updated metrics: rtt=205191, cwnd=28672, bytesInFlight=4911, packetsInFlight=30
Updated metrics: rtt=205191, cwnd=28672, bytesInFlight=5011, packetsInFlight=31
