Index,RTT (μs),CWND (B),Bytes In Flight (B)
636,693,40960,4171
637,693,40960,4195
638,695,40960,0
639,695,40960,96
640,695,40960,190
641,678,40960,0
642,678,40960,33
643,678,40960,1474
644,678,40960,2915
645,678,40960,4087
646,678,40960,4111
647,712,40960,0
648,712,40960,95
649,712,40960,189
650,657,40960,0
651,657,40960,96
652,657,40960,194
653,617,40960,0
654,617,40960,98
655,599,40960,0
656,599,40960,33
657,599,40960,1474
658,599,40960,2915
659,599,40960,4356
660,599,40960,4444
661,599,40960,4468
662,584,40960,0
663,584,40960,103
664,584,40960,199
665,570,40960,0
666,570,40960,33
667,570,40960,1474
668,570,40960,2915
669,570,40960,4250
670,570,40960,4274
671,575,40960,0
672,575,40960,96
673,671,40960,0
674,671,40960,96
675,755,40960,0
676,755,40960,96
677,755,40960,192
678,736,40960,0
679,736,40960,33
680,736,40960,1474
681,736,40960,2915
682,736,40960,4013
683,736,40960,4037
684,749,40960,0
685,749,40960,96
686,749,40960,192
687,718,40960,0
688,718,40960,96
689,718,40960,192
690,688,40960,0
691,688,40960,33
692,688,40960,1474
693,688,40960,2915
694,688,40960,4285
695,688,40960,4309
696,680,40960,0
697,680,40960,96
698,680,40960,192
699,810,40960,96
700,918,40960,0
701,918,40960,33
702,918,40960,1474
703,918,40960,2915
704,918,40960,4356
705,918,40960,4524
706,918,40960,4548
707,914,40960,0
708,914,40960,103
709,914,40960,199
710,862,40960,0
711,862,40960,103
712,862,40960,199
713,797,40960,0
714,797,40960,96
715,840,40960,0
716,840,40960,33
717,840,40960,1474
718,840,40960,2915
719,840,40960,4356
720,840,40960,4516
721,776,40960,0
722,776,40960,96
723,776,40960,192
724,711,40960,0
725,711,40960,32
726,711,40960,1473
727,711,40960,2914
728,711,40960,4285
729,711,40960,4309
730,695,40960,0
731,695,40960,96
732,695,40960,192
733,685,40960,0
734,685,40960,96
735,685,40960,192
736,635,40960,0
737,635,40960,32
738,635,40960,1473
739,635,40960,2914
740,635,40960,4355
741,635,40960,5796
742,635,40960,7076
743,635,40960,7100
744,647,40960,0
745,647,40960,95
746,647,40960,190
747,625,40960,0
748,625,40960,32
749,625,40960,1473
750,625,40960,2914
751,625,40960,4355
752,625,40960,4680
753,625,40960,4704
754,585,40960,0
755,585,40960,95
756,585,40960,190
757,559,40960,0
758,559,40960,95
759,559,40960,190
760,558,40960,0
761,558,40960,32
762,558,40960,1473
763,558,40960,2914
764,558,40960,4355
765,558,40960,4598
766,571,40960,0
767,571,40960,95
768,571,40960,190
769,565,40960,0
770,565,40960,95
771,527,40960,0
772,527,40960,32
773,527,40960,1473
774,527,40960,2914
775,527,40960,4355
776,527,40960,4531
777,527,40960,4626
778,503,40960,0
779,503,40960,95
780,662,40960,0
781,662,40960,95
782,662,40960,190
783,741,40960,95
784,843,40960,0
785,843,40960,32
786,843,40960,1473
787,843,40960,2914
788,843,40960,4355
789,843,40960,5204
790,843,40960,5228
791,787,40960,0
792,787,40960,102
793,787,40960,197
794,725,40960,0
795,725,40960,95
796,671,40960,0
797,671,40960,95
798,842,40960,0
799,842,40960,32
800,842,40960,1473
801,842,40960,2914
802,842,40960,4355
803,842,40960,4685
804,844,40960,0
805,844,40960,95
806,844,40960,190
807,774,40960,0
808,774,40960,32
809,774,40960,1473
810,774,40960,2914
811,774,40960,4355
812,774,40960,4557
813,774,40960,4581
814,751,40960,0
815,751,40960,95
816,751,40960,190
817,776,40960,0
818,776,40960,95
819,776,40960,190
820,750,40960,0
821,750,40960,32
822,750,40960,1473
823,750,40960,2914
824,750,40960,4355
825,750,40960,4556
826,750,40960,4580
827,826,40960,0
828,826,40960,95
829,826,40960,190
830,826,40960,285
831,970,40960,0
832,970,40960,32
833,970,40960,1473
834,970,40960,2914
835,970,40960,4355
836,970,40960,4575
