Method 3: time: 1.020170179, rttCustomWeightedVariance: 101247.38891323323, cwndCustomWeightedVariance: 0
Method 3: time: 1.010955252, rttCustomWeightedVariance: 43712.288189385865, cwndCustomWeightedVariance: 0
Method 3: time: 1.009880769, rttCustomWeightedVariance: 38977.029600186, cwndCustomWeightedVariance: 0
Method 3: time: 1.008647174, rttCustomWeightedVariance: 357354.18271245377, cwndCustomWeightedVariance: 0
Method 3: time: 1.01135262, rttCustomWeightedVariance: 42953.37229575053, cwndCustomWeightedVariance: 0
Method 3: time: 1.014616499, rttCustomWeightedVariance: 34410.205405347464, cwndCustomWeightedVariance: 0
Method 3: time: 1.01073255, rttCustomWeightedVariance: 76155.95880174474, cwndCustomWeightedVariance: 0
Method 3: time: 1.014130101, rttCustomWeightedVariance: 39818.77414638316, cwndCustomWeightedVariance: 0
Method 3: time: 1.010315548, rttCustomWeightedVariance: 71064.52911142659, cwndCustomWeightedVariance: 0
Method 3: time: 1.009455534, rttCustomWeightedVariance: 270266.8192628582, cwndCustomWeightedVariance: 0
Method 3: time: 1.009454517, rttCustomWeightedVariance: 53683.06968738604, cwndCustomWeightedVariance: 0
Method 3: time: 1.010951438, rttCustomWeightedVariance: 138012.0094606926, cwndCustomWeightedVariance: 0
Method 3: time: 1.011502606, rttCustomWeightedVariance: 127664.66627642482, cwndCustomWeightedVariance: 0
Method 3: time: 1.010677943, rttCustomWeightedVariance: 83188.2706398159, cwndCustomWeightedVariance: 0
Method 3: time: 1.010494638, rttCustomWeightedVariance: 177039.1261883124, cwndCustomWeightedVariance: 0
Method 3: time: 1.011392617, rttCustomWeightedVariance: 96306.98379391133, cwndCustomWeightedVariance: 0
Method 3: time: 1.017780721, rttCustomWeightedVariance: 40573.27640278551, cwndCustomWeightedVariance: 0
Method 3: time: 1.011596178, rttCustomWeightedVariance: 44847.42149278067, cwndCustomWeightedVariance: 0
Method 3: time: 1.01682293, rttCustomWeightedVariance: 120797.6233271192, cwndCustomWeightedVariance: 0
Method 3: time: 1.01394942, rttCustomWeightedVariance: 41936.811969771705, cwndCustomWeightedVariance: 0
Method 3: time: 1.012518968, rttCustomWeightedVariance: 115369.36897735784, cwndCustomWeightedVariance: 0
Method 3: time: 1.007857767, rttCustomWeightedVariance: 49749.67830855721, cwndCustomWeightedVariance: 0
Method 3: time: 1.011380727, rttCustomWeightedVariance: 27052.05275142154, cwndCustomWeightedVariance: 0
Method 3: time: 1.010637694, rttCustomWeightedVariance: 213609.32702741146, cwndCustomWeightedVariance: 0
Method 3: time: 1.011621273, rttCustomWeightedVariance: 53329.452503972054, cwndCustomWeightedVariance: 0
Method 3: time: 1.011012519, rttCustomWeightedVariance: 12620.239378943103, cwndCustomWeightedVariance: 0
Method 3: time: 1.011102441, rttCustomWeightedVariance: 33863.50567186982, cwndCustomWeightedVariance: 0
Method 3: time: 1.010869046, rttCustomWeightedVariance: 25839.22109230088, cwndCustomWeightedVariance: 0
Method 3: time: 1.014145609, rttCustomWeightedVariance: 197133.8913264238, cwndCustomWeightedVariance: 0
Method 3: time: 1.013023898, rttCustomWeightedVariance: 80719.30252939893, cwndCustomWeightedVariance: 0
Method 3: time: 1.033462703, rttCustomWeightedVariance: 163715.2723353518, cwndCustomWeightedVariance: 0
Method 3: time: 1.025946284, rttCustomWeightedVariance: 445034.5503695112, cwndCustomWeightedVariance: 0
Method 3: time: 1.01491946, rttCustomWeightedVariance: 81233.12018136597, cwndCustomWeightedVariance: 0
Method 3: time: 1.012795121, rttCustomWeightedVariance: 218621.1590779814, cwndCustomWeightedVariance: 0
Method 3: time: 1.01318934, rttCustomWeightedVariance: 247544.00003725305, cwndCustomWeightedVariance: 0
Method 3: time: 1.022930618, rttCustomWeightedVariance: 502291.2986015261, cwndCustomWeightedVariance: 0
Method 3: time: 1.011222592, rttCustomWeightedVariance: 214613.97682046003, cwndCustomWeightedVariance: 0
Method 3: time: 1.009839089, rttCustomWeightedVariance: 214893.5599751117, cwndCustomWeightedVariance: 0
Method 3: time: 1.013707387, rttCustomWeightedVariance: 415553.0555760266, cwndCustomWeightedVariance: 0
Method 3: time: 1.012208352, rttCustomWeightedVariance: 49714.09749911106, cwndCustomWeightedVariance: 0
Method 3: time: 1.017259889, rttCustomWeightedVariance: 266137.3805723054, cwndCustomWeightedVariance: 0
Method 3: time: 1.027671317, rttCustomWeightedVariance: 999692.3473334529, cwndCustomWeightedVariance: 0
Method 3: time: 1.019497787, rttCustomWeightedVariance: 278167.72362147714, cwndCustomWeightedVariance: 0
Method 3: time: 1.011461791, rttCustomWeightedVariance: 207057.78116339978, cwndCustomWeightedVariance: 0
Method 3: time: 1.023898801, rttCustomWeightedVariance: 177103.70754573826, cwndCustomWeightedVariance: 0
Method 3: time: 1.009324758, rttCustomWeightedVariance: 190157.4669672205, cwndCustomWeightedVariance: 0
Method 3: time: 1.011086658, rttCustomWeightedVariance: 37231.73925328944, cwndCustomWeightedVariance: 0
Method 3: time: 1.024960733, rttCustomWeightedVariance: 102387.63556915571, cwndCustomWeightedVariance: 0
Method 3: time: 1.010479557, rttCustomWeightedVariance: 104500.33583161619, cwndCustomWeightedVariance: 0
Method 3: time: 1.026178186, rttCustomWeightedVariance: 70761.81069691309, cwndCustomWeightedVariance: 0
Method 3: time: 1.019315171, rttCustomWeightedVariance: 72550.13287926013, cwndCustomWeightedVariance: 0
Method 3: time: 1.029661251, rttCustomWeightedVariance: 137870.14799150542, cwndCustomWeightedVariance: 0
Method 3: time: 1.009758926, rttCustomWeightedVariance: 117611.93018448613, cwndCustomWeightedVariance: 0
Method 3: time: 1.014779918, rttCustomWeightedVariance: 1.0991254594236338e+06, cwndCustomWeightedVariance: 0
