Method 3: time: 1.010551867, rttCustomWeightedVariance: 23868.637613868927, cwndCustomWeightedVariance: 0
Method 3: time: 1.01036773, rttCustomWeightedVariance: 8650.231275659251, cwndCustomWeightedVariance: 0
Method 3: time: 1.008465382, rttCustomWeightedVariance: 16888.706322271202, cwndCustomWeightedVariance: 0
Method 3: time: 1.012886297, rttCustomWeightedVariance: 36343.09296129409, cwndCustomWeightedVariance: 0
Method 3: time: 1.009027099, rttCustomWeightedVariance: 9078.996806588239, cwndCustomWeightedVariance: 0
Method 3: time: 1.008684468, rttCustomWeightedVariance: 47245.92459733352, cwndCustomWeightedVariance: 0
Method 3: time: 1.01328875, rttCustomWeightedVariance: 39396.071381849746, cwndCustomWeightedVariance: 0
Method 3: time: 1.010276587, rttCustomWeightedVariance: 103833.27517759784, cwndCustomWeightedVariance: 0
Method 3: time: 1.020377326, rttCustomWeightedVariance: 297594.4237771884, cwndCustomWeightedVariance: 0
Method 3: time: 1.014263661, rttCustomWeightedVariance: 211769.463733788, cwndCustomWeightedVariance: 0
Method 3: time: 1.015296495, rttCustomWeightedVariance: 152095.2948278811, cwndCustomWeightedVariance: 0
Method 3: time: 1.012444875, rttCustomWeightedVariance: 104222.96451597515, cwndCustomWeightedVariance: 0
Method 3: time: 1.014932904, rttCustomWeightedVariance: 39203.37582935822, cwndCustomWeightedVariance: 0
Method 3: time: 1.009517762, rttCustomWeightedVariance: 38918.98560760711, cwndCustomWeightedVariance: 0
Method 3: time: 1.009166114, rttCustomWeightedVariance: 59749.987678923084, cwndCustomWeightedVariance: 0
Method 3: time: 1.009646304, rttCustomWeightedVariance: 31241.057566341933, cwndCustomWeightedVariance: 0
Method 3: time: 1.009748025, rttCustomWeightedVariance: 137671.90174396578, cwndCustomWeightedVariance: 0
Method 3: time: 1.009144331, rttCustomWeightedVariance: 118021.14839413686, cwndCustomWeightedVariance: 0
Method 3: time: 1.015215894, rttCustomWeightedVariance: 48624.28497431181, cwndCustomWeightedVariance: 0
Method 3: time: 1.01091412, rttCustomWeightedVariance: 62606.7133550343, cwndCustomWeightedVariance: 0
Method 3: time: 1.009249257, rttCustomWeightedVariance: 148271.94001125183, cwndCustomWeightedVariance: 0
Method 3: time: 1.012369429, rttCustomWeightedVariance: 20562.532156045996, cwndCustomWeightedVariance: 0
Method 3: time: 1.012456172, rttCustomWeightedVariance: 182134.64198716023, cwndCustomWeightedVariance: 0
Method 3: time: 1.015821754, rttCustomWeightedVariance: 128125.24416890099, cwndCustomWeightedVariance: 0
Method 3: time: 1.014678783, rttCustomWeightedVariance: 45803.728549616564, cwndCustomWeightedVariance: 0
Method 3: time: 1.021995638, rttCustomWeightedVariance: 13082.874619232563, cwndCustomWeightedVariance: 0
Method 3: time: 1.008519669, rttCustomWeightedVariance: 121073.04722136003, cwndCustomWeightedVariance: 0
Method 3: time: 1.009556735, rttCustomWeightedVariance: 77813.37256506112, cwndCustomWeightedVariance: 0
Method 3: time: 1.020228715, rttCustomWeightedVariance: 47002.231803639166, cwndCustomWeightedVariance: 0
Method 3: time: 1.008369282, rttCustomWeightedVariance: 172055.79380828294, cwndCustomWeightedVariance: 0
Method 3: time: 1.023629431, rttCustomWeightedVariance: 164816.28690114908, cwndCustomWeightedVariance: 0
Method 3: time: 1.009972822, rttCustomWeightedVariance: 31421.205548598886, cwndCustomWeightedVariance: 0
Method 3: time: 1.011631376, rttCustomWeightedVariance: 114253.05777899027, cwndCustomWeightedVariance: 0
Method 3: time: 1.010490653, rttCustomWeightedVariance: 137204.45759558346, cwndCustomWeightedVariance: 0
Method 3: time: 1.024117211, rttCustomWeightedVariance: 29439.49255756148, cwndCustomWeightedVariance: 0
Method 3: time: 1.029593331, rttCustomWeightedVariance: 379499.2434995763, cwndCustomWeightedVariance: 0
Method 3: time: 1.02386526, rttCustomWeightedVariance: 21222.907367830478, cwndCustomWeightedVariance: 0
Method 3: time: 1.023622775, rttCustomWeightedVariance: 17210.06421207945, cwndCustomWeightedVariance: 0
Method 3: time: 1.021355541, rttCustomWeightedVariance: 43870.56889522759, cwndCustomWeightedVariance: 0
Method 3: time: 1.022095341, rttCustomWeightedVariance: 187950.50664130272, cwndCustomWeightedVariance: 0
Method 3: time: 1.011933957, rttCustomWeightedVariance: 142167.38035650304, cwndCustomWeightedVariance: 0
Method 3: time: 1.025838121, rttCustomWeightedVariance: 803295.5855463002, cwndCustomWeightedVariance: 0
Method 3: time: 1.022635618, rttCustomWeightedVariance: 54637.90415862234, cwndCustomWeightedVariance: 0
Method 3: time: 1.022128176, rttCustomWeightedVariance: 21561.78578484108, cwndCustomWeightedVariance: 0
Method 3: time: 1.02613388, rttCustomWeightedVariance: 77834.00707415504, cwndCustomWeightedVariance: 0
Method 3: time: 1.009758805, rttCustomWeightedVariance: 14341.800239903674, cwndCustomWeightedVariance: 0
Method 3: time: 1.011665566, rttCustomWeightedVariance: 909048.1366081942, cwndCustomWeightedVariance: 0
Method 3: time: 1.009305147, rttCustomWeightedVariance: 180070.7985862367, cwndCustomWeightedVariance: 0
Method 3: time: 1.009763496, rttCustomWeightedVariance: 8650.580038312326, cwndCustomWeightedVariance: 0
Method 3: time: 1.010430192, rttCustomWeightedVariance: 47064.8330410251, cwndCustomWeightedVariance: 0
Method 3: time: 1.012915314, rttCustomWeightedVariance: 723560.5539593181, cwndCustomWeightedVariance: 0
Method 3: time: 1.00997891, rttCustomWeightedVariance: 134799.13692440445, cwndCustomWeightedVariance: 0
Method 3: time: 1.012843768, rttCustomWeightedVariance: 529155.964331512, cwndCustomWeightedVariance: 0
Method 3: time: 1.014225089, rttCustomWeightedVariance: 55327.67246298338, cwndCustomWeightedVariance: 0
Method 3: time: 1.012277412, rttCustomWeightedVariance: 957015.9379125914, cwndCustomWeightedVariance: 0
Method 3: time: 1.020844438, rttCustomWeightedVariance: 30205.96747966177, cwndCustomWeightedVariance: 0
Method 3: time: 1.016363294, rttCustomWeightedVariance: 104196.72259269902, cwndCustomWeightedVariance: 0
Method 3: time: 1.011601808, rttCustomWeightedVariance: 221010.7149135703, cwndCustomWeightedVariance: 0
Method 3: time: 1.012189378, rttCustomWeightedVariance: 309359.55189072527, cwndCustomWeightedVariance: 0
Method 3: time: 1.016331493, rttCustomWeightedVariance: 41349.932915207384, cwndCustomWeightedVariance: 0
Method 3: time: 1.013736939, rttCustomWeightedVariance: 10909.16111281421, cwndCustomWeightedVariance: 0
Method 3: time: 1.0101915, rttCustomWeightedVariance: 83902.11211444823, cwndCustomWeightedVariance: 0
Method 3: time: 1.013341928, rttCustomWeightedVariance: 45559.39356719559, cwndCustomWeightedVariance: 0
Method 3: time: 1.01151962, rttCustomWeightedVariance: 377936.4114247284, cwndCustomWeightedVariance: 0
Method 3: time: 1.012270324, rttCustomWeightedVariance: 94389.2100084824, cwndCustomWeightedVariance: 0
Method 3: time: 1.012557637, rttCustomWeightedVariance: 69844.7837525013, cwndCustomWeightedVariance: 0
Method 3: time: 1.013070441, rttCustomWeightedVariance: 162898.27556713705, cwndCustomWeightedVariance: 0
Method 3: time: 1.011798349, rttCustomWeightedVariance: 286891.6632074864, cwndCustomWeightedVariance: 0
Method 3: time: 1.018174781, rttCustomWeightedVariance: 16128.444496251654, cwndCustomWeightedVariance: 0
Method 3: time: 1.013865832, rttCustomWeightedVariance: 108103.20349246346, cwndCustomWeightedVariance: 0
Method 3: time: 1.015344106, rttCustomWeightedVariance: 13544.758203248304, cwndCustomWeightedVariance: 0
Method 3: time: 1.020014591, rttCustomWeightedVariance: 146430.91603012677, cwndCustomWeightedVariance: 0
Method 3: time: 1.017044082, rttCustomWeightedVariance: 5672.15661160677, cwndCustomWeightedVariance: 0
Method 3: time: 1.016791887, rttCustomWeightedVariance: 142372.62930877763, cwndCustomWeightedVariance: 0
Method 3: time: 1.01374134, rttCustomWeightedVariance: 244805.72655888935, cwndCustomWeightedVariance: 0
Method 3: time: 1.0260709, rttCustomWeightedVariance: 21463.180555623236, cwndCustomWeightedVariance: 0
Method 3: time: 1.029514741, rttCustomWeightedVariance: 43501.25112136835, cwndCustomWeightedVariance: 0
Method 3: time: 1.01199515, rttCustomWeightedVariance: 130243.2584471452, cwndCustomWeightedVariance: 0
Method 3: time: 1.016316802, rttCustomWeightedVariance: 17335.06224159197, cwndCustomWeightedVariance: 0
Method 3: time: 1.012832118, rttCustomWeightedVariance: 32259.822628311464, cwndCustomWeightedVariance: 0
Method 3: time: 1.020171658, rttCustomWeightedVariance: 68248.8149750182, cwndCustomWeightedVariance: 0
Method 3: time: 1.025924245, rttCustomWeightedVariance: 21554.401452299095, cwndCustomWeightedVariance: 0
Method 3: time: 1.018425177, rttCustomWeightedVariance: 271143.0691244294, cwndCustomWeightedVariance: 0
Method 3: time: 1.019109759, rttCustomWeightedVariance: 180003.5849845481, cwndCustomWeightedVariance: 0
Method 3: time: 1.016968459, rttCustomWeightedVariance: 97395.49548109586, cwndCustomWeightedVariance: 0
Method 3: time: 1.012861819, rttCustomWeightedVariance: 49757.414091440216, cwndCustomWeightedVariance: 0
Method 3: time: 1.012975648, rttCustomWeightedVariance: 43875.61831047533, cwndCustomWeightedVariance: 0
Method 3: time: 1.018176972, rttCustomWeightedVariance: 244142.89421812148, cwndCustomWeightedVariance: 0
Method 3: time: 1.013844029, rttCustomWeightedVariance: 21192.489107591213, cwndCustomWeightedVariance: 0
Method 3: time: 1.021609222, rttCustomWeightedVariance: 80450.20278507016, cwndCustomWeightedVariance: 0
Method 3: time: 1.020002146, rttCustomWeightedVariance: 150270.54194690392, cwndCustomWeightedVariance: 0
Method 3: time: 1.014147318, rttCustomWeightedVariance: 142426.06186398104, cwndCustomWeightedVariance: 0
Method 3: time: 1.013678413, rttCustomWeightedVariance: 136376.06275011774, cwndCustomWeightedVariance: 0
Method 3: time: 1.016101712, rttCustomWeightedVariance: 126359.69519092557, cwndCustomWeightedVariance: 0
Method 3: time: 1.028000343, rttCustomWeightedVariance: 98683.12280388283, cwndCustomWeightedVariance: 0
Method 3: time: 1.031271466, rttCustomWeightedVariance: 37700.60042968422, cwndCustomWeightedVariance: 0
Method 3: time: 1.034685455, rttCustomWeightedVariance: 117215.55601895173, cwndCustomWeightedVariance: 0
Method 3: time: 1.017551994, rttCustomWeightedVariance: 164538.42236040175, cwndCustomWeightedVariance: 0
Method 3: time: 1.024169235, rttCustomWeightedVariance: 113045.55864753143, cwndCustomWeightedVariance: 0
Method 3: time: 1.032650306, rttCustomWeightedVariance: 87715.56115729298, cwndCustomWeightedVariance: 0
Method 3: time: 1.033545041, rttCustomWeightedVariance: 630645.1912641444, cwndCustomWeightedVariance: 0
Method 3: time: 1.026630622, rttCustomWeightedVariance: 105886.19930578538, cwndCustomWeightedVariance: 0
Method 3: time: 1.033115956, rttCustomWeightedVariance: 33366.6818338418, cwndCustomWeightedVariance: 0
Method 3: time: 1.020369968, rttCustomWeightedVariance: 137185.29584878474, cwndCustomWeightedVariance: 0
Method 3: time: 1.01306992, rttCustomWeightedVariance: 78876.20701542286, cwndCustomWeightedVariance: 0
Method 3: time: 1.018268128, rttCustomWeightedVariance: 16324.324772459751, cwndCustomWeightedVariance: 0
Method 3: time: 1.028550453, rttCustomWeightedVariance: 42633.84374672475, cwndCustomWeightedVariance: 0
Method 3: time: 1.013317955, rttCustomWeightedVariance: 116565.74434139646, cwndCustomWeightedVariance: 0
Method 3: time: 1.016677047, rttCustomWeightedVariance: 106986.95063679249, cwndCustomWeightedVariance: 0
Method 3: time: 1.037519997, rttCustomWeightedVariance: 22850.934721132162, cwndCustomWeightedVariance: 0
Method 3: time: 1.012806932, rttCustomWeightedVariance: 35690.408588354214, cwndCustomWeightedVariance: 0
Method 3: time: 1.024087344, rttCustomWeightedVariance: 34833.44241185196, cwndCustomWeightedVariance: 0
Method 3: time: 1.036047542, rttCustomWeightedVariance: 33736.84183976583, cwndCustomWeightedVariance: 0
Method 3: time: 1.012934189, rttCustomWeightedVariance: 57149.12876118556, cwndCustomWeightedVariance: 0
Method 3: time: 1.013340434, rttCustomWeightedVariance: 96605.8873593329, cwndCustomWeightedVariance: 0
Method 3: time: 1.015627719, rttCustomWeightedVariance: 78345.2472941719, cwndCustomWeightedVariance: 0
Method 3: time: 1.015087934, rttCustomWeightedVariance: 42341.76868685152, cwndCustomWeightedVariance: 0
Method 3: time: 1.017552956, rttCustomWeightedVariance: 259245.27575562435, cwndCustomWeightedVariance: 0
Method 3: time: 1.016237924, rttCustomWeightedVariance: 118359.79686347919, cwndCustomWeightedVariance: 0
Method 3: time: 1.02531526, rttCustomWeightedVariance: 92137.18190330268, cwndCustomWeightedVariance: 0
Method 3: time: 1.014861244, rttCustomWeightedVariance: 34700.78759505281, cwndCustomWeightedVariance: 0
Method 3: time: 1.016285295, rttCustomWeightedVariance: 25608.958072083067, cwndCustomWeightedVariance: 0
Method 3: time: 1.015951252, rttCustomWeightedVariance: 21982.434467082872, cwndCustomWeightedVariance: 0
Method 3: time: 1.013639049, rttCustomWeightedVariance: 19720.66265180735, cwndCustomWeightedVariance: 0
Method 3: time: 1.013726045, rttCustomWeightedVariance: 7297.57933494928, cwndCustomWeightedVariance: 0
Method 3: time: 1.021629618, rttCustomWeightedVariance: 96834.63651126716, cwndCustomWeightedVariance: 0
Method 3: time: 1.015214753, rttCustomWeightedVariance: 137327.0330596954, cwndCustomWeightedVariance: 0
Method 3: time: 1.015333848, rttCustomWeightedVariance: 146991.36979992414, cwndCustomWeightedVariance: 0
Method 3: time: 1.019996807, rttCustomWeightedVariance: 217616.46163869265, cwndCustomWeightedVariance: 0
Method 3: time: 1.01503156, rttCustomWeightedVariance: 469166.9377511131, cwndCustomWeightedVariance: 0
Method 3: time: 1.016701034, rttCustomWeightedVariance: 354286.8341883272, cwndCustomWeightedVariance: 0
Method 3: time: 1.015852538, rttCustomWeightedVariance: 14593.718141861444, cwndCustomWeightedVariance: 0
Method 3: time: 1.0168678309999999, rttCustomWeightedVariance: 817885.3720943199, cwndCustomWeightedVariance: 0
